ts_code,trade_date,pct_chg
000078.SZ,20260707,9.7561
000711.SZ,20260707,8.1836
002266.SZ,20260707,8.6957
002607.SZ,20260707,8.134
002617.SZ,20260707,8.1382
300043.SZ,20260707,14.128
300103.SZ,20260707,9.1413
300276.SZ,20260707,10.9687
300717.SZ,20260707,10.9767
300745.SZ,20260707,12.7189
300985.SZ,20260707,14.4276
301053.SZ,20260707,8.484
301068.SZ,20260707,8.2569
301237.SZ,20260707,14.6325
603893.SH,20260707,8.2841
688261.SH,20260707,16.332
688584.SH,20260707,15.3051
688596.SH,20260707,10.5634
688605.SH,20260707,15.2161
688802.SH,20260707,14.0889
920058.BJ,20260707,8.5652
920122.BJ,20260707,11.4372
920527.BJ,20260707,25.0551
920627.BJ,20260707,12.6084
